date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,1,0,0,1
2020-02-26,1,0,0,1
2020-02-27,1,0,0,1
2020-02-28,1,0,0,1
2020-02-29,1,0,0,1
2020-03-01,1,0,0,1
2020-03-02,3,0,0,3
2020-03-03,5,0,0,5
2020-03-04,12,0,0,12
2020-03-05,12,0,0,12
2020-03-06,17,0,0,17
2020-03-07,17,0,0,17
2020-03-08,19,0,0,19
2020-03-09,20,0,0,20
2020-03-10,20,0,0,20
2020-03-11,20,0,0,20
2020-03-12,24,8,1,15
2020-03-13,26,8,2,16
2020-03-14,37,12,3,22
2020-03-15,48,12,4,32
2020-03-16,54,12,4,38
2020-03-17,60,12,4,44
2020-03-18,74,12,7,55
2020-03-19,87,32,9,46
2020-03-20,90,32,11,47
2020-03-21,139,32,15,92
2020-03-22,201,65,17,119
2020-03-23,230,65,17,148
2020-03-24,264,24,19,221
2020-03-25,302,65,21,216
2020-03-26,367,29,25,313
2020-03-27,409,29,26,354
2020-03-28,454,31,29,394
2020-03-29,511,31,31,449
2020-03-30,584,37,35,512
2020-03-31,716,46,44,626
2020-04-01,847,61,58,728
2020-04-02,986,61,86,839
2020-04-03,1171,62,105,1004
