date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,1,0,0,1
2020-03-05,1,0,0,1
2020-03-06,5,0,0,5
2020-03-07,5,0,0,5
2020-03-08,11,0,0,11
2020-03-09,16,0,0,16
2020-03-10,22,0,0,22
2020-03-11,31,0,0,31
2020-03-12,49,0,1,48
2020-03-13,68,0,2,66
2020-03-14,103,0,3,100
2020-03-15,119,0,3,116
2020-03-16,177,13,4,160
2020-03-17,238,13,5,220
2020-03-18,251,13,5,233
2020-03-19,355,1,5,349
2020-03-20,425,1,5,419
2020-03-21,536,1,5,530
2020-03-22,634,1,7,626
2020-03-23,749,1,8,740
2020-03-24,901,1,10,890
2020-03-25,1051,7,14,1030
2020-03-26,1221,7,16,1198
2020-03-27,1389,7,16,1366
2020-03-28,1638,7,18,1613
2020-03-29,1862,7,22,1833
2020-03-30,2055,7,31,2017
2020-03-31,2311,7,33,2271
2020-04-01,2554,47,43,2464
2020-04-02,2946,56,57,2833
