date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,2,0,0,2
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,1,0,0,1
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,17,0,1,16
2020-02-22,42,1,1,40
2020-02-23,93,1,1,91
2020-02-24,74,-1,4,71
2020-02-25,93,0,3,90
2020-02-26,131,2,2,127
2020-02-27,202,42,5,155
2020-02-28,233,1,4,228
2020-02-29,240,0,8,232
2020-03-01,566,37,5,524
2020-03-02,342,66,18,258
2020-03-03,466,11,27,428
2020-03-04,587,116,28,443
2020-03-05,769,138,41,590
2020-03-06,778,109,49,620
2020-03-07,1247,66,36,1145
2020-03-08,1492,33,133,1326
2020-03-09,1797,102,97,1598
2020-03-10,977,0,168,809
2020-03-11,2313,321,196,1796
2020-03-12,2651,0,189,2462
2020-03-13,2547,394,250,1903
2020-03-14,3497,527,175,2795
2020-03-15,3590,369,368,2853
2020-03-16,3233,414,349,2470
2020-03-17,3526,192,345,2989
2020-03-18,4207,1084,475,2648
2020-03-19,5322,415,427,4480
2020-03-20,5986,0,627,5359
2020-03-21,6557,1632,793,4132
2020-03-22,5560,952,651,3957
2020-03-23,4789,0,601,4188
2020-03-24,5249,1302,743,3204
2020-03-25,5210,1036,683,3491
2020-03-26,6203,999,712,4492
2020-03-27,5909,589,919,4401
2020-03-28,5974,1434,889,3651
2020-03-29,5217,646,756,3815
2020-03-30,4050,1590,812,1648
