date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,0,0,0,0
2020-02-27,0,0,0,0
2020-02-28,0,0,0,0
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,0,0,0,0
2020-03-05,1,0,0,1
2020-03-06,1,0,0,1
2020-03-07,1,0,0,1
2020-03-08,3,0,0,3
2020-03-09,3,0,0,3
2020-03-10,7,0,0,7
2020-03-11,13,0,0,13
2020-03-12,17,0,0,17
2020-03-13,24,0,0,24
2020-03-14,38,0,0,38
2020-03-15,51,0,0,51
2020-03-16,62,0,0,62
2020-03-17,62,0,0,62
2020-03-18,116,0,0,116
2020-03-19,150,0,0,150
2020-03-20,202,0,0,202
2020-03-21,240,0,0,240
2020-03-22,274,0,0,274
2020-03-23,402,0,0,402
2020-03-24,554,4,0,550
2020-03-25,709,12,0,697
2020-03-26,927,12,0,915
2020-03-27,1170,31,1,1138
2020-03-28,1187,31,1,1155
2020-03-29,1280,31,2,1247
2020-03-30,1326,31,3,1292
2020-03-31,1353,31,5,1317
2020-04-01,1380,50,5,1325
2020-04-02,1462,50,5,1407
