date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,2,0,2,0
2020-02-20,5,0,2,3
2020-02-21,18,0,4,14
2020-02-22,28,0,5,23
2020-02-23,43,0,8,35
2020-02-24,61,0,12,49
2020-02-25,95,0,16,79
2020-02-26,139,49,19,71
2020-02-27,245,49,26,170
2020-02-28,388,73,34,281
2020-02-29,593,123,43,427
2020-03-01,978,175,54,749
2020-03-02,1501,291,66,1144
2020-03-03,2336,291,77,1968
2020-03-04,2922,552,92,2278
2020-03-05,3513,739,107,2667
2020-03-06,4747,913,124,3710
2020-03-07,5823,1669,145,4009
2020-03-08,6566,2134,194,4238
2020-03-09,7161,2394,237,4530
2020-03-10,8042,2731,291,5020
2020-03-11,9000,2959,354,5687
2020-03-12,10075,2959,429,6687
2020-03-13,11364,2959,514,7891
2020-03-14,12729,2959,611,9159
2020-03-15,13938,4590,724,8624
2020-03-16,14991,4590,853,9548
2020-03-17,16169,5389,988,9792
2020-03-18,17361,5389,1135,10837
2020-03-19,18407,5710,1284,11413
2020-03-20,19644,6745,1433,11466
2020-03-21,20610,7635,1556,11419
2020-03-22,21638,7931,1685,12022
2020-03-23,23049,7931,1812,13306
2020-03-24,24811,8913,1934,13964
2020-03-25,27017,9625,2077,15315
2020-03-26,29406,10457,2234,16715
2020-03-27,32332,11133,2378,18821
2020-03-28,35408,11679,2517,21212
