date,confirmed,recovered,deaths,active
2020-01-22,0,0,0,0
2020-01-23,0,0,0,0
2020-01-24,0,0,0,0
2020-01-25,0,0,0,0
2020-01-26,0,0,0,0
2020-01-27,0,0,0,0
2020-01-28,0,0,0,0
2020-01-29,0,0,0,0
2020-01-30,0,0,0,0
2020-01-31,0,0,0,0
2020-02-01,0,0,0,0
2020-02-02,0,0,0,0
2020-02-03,0,0,0,0
2020-02-04,0,0,0,0
2020-02-05,0,0,0,0
2020-02-06,0,0,0,0
2020-02-07,0,0,0,0
2020-02-08,0,0,0,0
2020-02-09,0,0,0,0
2020-02-10,0,0,0,0
2020-02-11,0,0,0,0
2020-02-12,0,0,0,0
2020-02-13,0,0,0,0
2020-02-14,0,0,0,0
2020-02-15,0,0,0,0
2020-02-16,0,0,0,0
2020-02-17,0,0,0,0
2020-02-18,0,0,0,0
2020-02-19,0,0,0,0
2020-02-20,0,0,0,0
2020-02-21,0,0,0,0
2020-02-22,0,0,0,0
2020-02-23,0,0,0,0
2020-02-24,0,0,0,0
2020-02-25,0,0,0,0
2020-02-26,1,0,0,1
2020-02-27,0,0,0,0
2020-02-28,2,0,0,2
2020-02-29,0,0,0,0
2020-03-01,0,0,0,0
2020-03-02,0,0,0,0
2020-03-03,0,0,0,0
2020-03-04,1,1,0,0
2020-03-05,2,0,0,2
2020-03-06,3,0,0,3
2020-03-07,0,2,0,-2
2020-03-08,6,0,0,6
2020-03-09,0,0,0,0
2020-03-10,10,0,0,10
2020-03-11,20,3,0,17
2020-03-12,4,0,0,4
2020-03-13,40,1,0,39
2020-03-14,34,2,0,32
2020-03-15,8,0,0,8
2020-03-16,27,0,0,27
2020-03-17,26,7,0,19
2020-03-18,76,3,0,73
2020-03-19,17,6,0,11
2020-03-20,31,0,0,31
2020-03-21,59,27,0,32
2020-03-22,66,12,3,51
2020-03-23,143,0,4,139
2020-03-24,218,15,4,199
2020-03-25,112,7,6,99
2020-03-26,123,8,6,109
2020-03-27,263,21,3,239
2020-03-28,160,24,11,125
2020-03-29,363,67,6,290
2020-03-30,294,3,22,269
2020-03-31,136,11,17,108
2020-04-01,215,32,10,173
2020-04-02,278,15,23,240
2020-04-03,445,16,18,411
